App ID,App Name,RandomID,Email,Paket,Buchungsdatum,native,iOS Audience,Android Audience,Gesamt Audience,Transaktionen,ModuleEmails,Neue Besucher,Wiederkehrende Besucher,Besucher Gesamt,Gesendete PN,Submission Service Apple,Submission Service Google,Submission Service Amazon,AppStore URL,Google Play URL,Last Publish Date,TEXT,MAP,COUPON,GALLERY,NEWSCENTER,EVENTS,CONTACT,SUBMENU,SUBMENU_SEPARATOR,RESERVATION,VIDEO,USER_MODULE,RESERVATION2,RESERVATION3,RESERVATION4,COLLECTION_PRODUCT,COLLECTION_MENU,COLLECTION_BRANCH,BUSINESS_HOURS,PDF,TABLE_RESERVATION,FORMS,EXTERNAL_SERVICE_APPOINTMENT,WEBSITE,EXTERNAL_SERVICE_REVIEW,STAMPCARD,Eingelöste Stempelkarten,Stempelkartennutzer,Insgesamt verteilte Stempel,Gesamt Nutzer
,,b43b11aa-1453-4a8f-a049-c4369798c297,,,,,0,2,2,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,897f6c82-d3af-47f8-9cfc-451e02c6bd55,,,,,0,0,0,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,d3d48e27-db95-40b8-bde0-f9bb9be6df0d,,,,,78,22,100,0,0,39,49,88,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b84c0ffb-dec1-4be2-aafc-11ac28343f49,,,,,155,186,341,0,0,18,21,39,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c0704f-0fce-43d0-8321-1b887ada06e9,,,,,3,9,12,0,0,0,8,8,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2896a9cb-60b5-4c51-911b-bac068079bbf,,,,,5,9,14,0,0,51,26,77,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,166fd70b-9df3-4a14-868a-e14207beb39e,,,,,6,9,15,0,0,0,4,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79f27ac8-71fd-41c3-885d-959ef9543cf8,,,,,37,287,324,0,0,16,15,31,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b4771280-ed86-466d-8d2e-af1d5d80f30f,,,,,0,6,6,0,0,2,3,5,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,637ee6cf-3f02-453f-bbb1-8f4bcdf34aa4,,,,,2,0,2,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
