App ID,App Name,RandomID,Email,Paket,Buchungsdatum,native,iOS Audience,Android Audience,Gesamt Audience,Transaktionen,ModuleEmails,Neue Besucher,Wiederkehrende Besucher,Besucher Gesamt,Gesendete PN,Submission Service Apple,Submission Service Google,Submission Service Amazon,AppStore URL,Google Play URL,Last Publish Date,TEXT,MAP,COUPON,GALLERY,NEWSCENTER,EVENTS,CONTACT,SUBMENU,SUBMENU_SEPARATOR,RESERVATION,VIDEO,USER_MODULE,RESERVATION2,RESERVATION3,RESERVATION4,COLLECTION_PRODUCT,COLLECTION_MENU,COLLECTION_BRANCH,BUSINESS_HOURS,PDF,TABLE_RESERVATION,FORMS,EXTERNAL_SERVICE_APPOINTMENT,WEBSITE,EXTERNAL_SERVICE_REVIEW,STAMPCARD,Eingelöste Stempelkarten,Stempelkartennutzer,Insgesamt verteilte Stempel
,,99c0a2e2-6ebf-4f13-a44e-3fb508c562bd,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,dccbf001-9ec1-4b21-9ee2-7bc0737ef3e4,,,,,,,,,,,,,,,,,,,,24,6,0,1,0,0,2,5,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,f1c30034-0755-4171-86b0-a9c667a203dc,,,,,,,,,,,,,,,,,,,,31,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,6d34b041-6a8f-4532-a481-5bcd6c8c8755,,,,,,,,,,,,,,,,,,,,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,e169ae52-376a-48a4-8686-159ef0de2ead,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,728f4fb6-565e-4026-b25e-33a45e5b7e77,,,,,,,,,,,,,,,,,,,,10,1,1,1,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,df0831de-a045-4b2f-a8ff-8530858c37b8,,,,,,,,,,,,,,,,,,,,6,1,0,2,0,0,1,2,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,cea074d1-ce75-4b74-b7b9-6ac3ac88fdb8,,,,,,,,,,,,,,,,,,,,3,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,c93cd34a-33bc-4b32-8a89-50b8001c302c,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,501db24a-89fe-4fb6-b52e-a1d327bc6cbc,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,50cf1cb6-d8d5-455e-918f-bf4fb11a8f32,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,,,
,,e21e39bd-ed4f-490e-8a6f-06dece15b4cb,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,1,1,5,13,2,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,,,
